,1.5,2,3,4,1.5,2,3,4,1.5,2,3,4
,rcp26,rcp26,rcp26,rcp26,rcp45,rcp45,rcp45,rcp45,rcp85,rcp85,rcp85,rcp85
CCCma_CanESM2_r1i1p1_CLMcom_CCLM4-8-17_v1,2004-2023,2023-2042,,,2008-2027,2022-2041,2066-2085,,2004-2023,2017-2036,2040-2059,2059-2078
CCCma_CanESM2_r1i1p1_GERICS_REMO2015_v1,2004-2023,2023-2042,,,2008-2027,2022-2041,2066-2085,,2004-2023,2017-2036,2040-2059,2059-2078
CNRM-CERFACS_CNRM-CM5_r1i1p1_CLMcom-ETH_COSMO-crCLIM-v1-1_v1,2034-2053,,,,2028-2047,2049-2068,,,9999,9999,9999,9999
CNRM-CERFACS_CNRM-CM5_r1i1p1_CLMcom_CCLM4-8-17_v1,2034-2053,,,,2028-2047,2049-2068,,,9999,9999,9999,9999
CNRM-CERFACS_CNRM-CM5_r1i1p1_CNRM_ALADIN63_v2,2034-2053,,,,2028-2047,2049-2068,,,9999,9999,9999,9999
CNRM-CERFACS_CNRM-CM5_r1i1p1_DMI_HIRHAM5_v2,2034-2053,,,,2028-2047,2049-2068,,,9999,9999,9999,9999
CNRM-CERFACS_CNRM-CM5_r1i1p1_GERICS_REMO2015_v2,2034-2053,,,,2028-2047,2049-2068,,,9999,9999,9999,9999
CNRM-CERFACS_CNRM-CM5_r1i1p1_ICTP_RegCM4-6_v1,2034-2053,,,,2028-2047,2049-2068,,,9999,9999,9999,9999
CNRM-CERFACS_CNRM-CM5_r1i1p1_IPSL_WRF381P_v2,2034-2053,,,,2028-2047,2049-2068,,,9999,9999,9999,9999
CNRM-CERFACS_CNRM-CM5_r1i1p1_KNMI_RACMO22E_v2,2034-2053,,,,2028-2047,2049-2068,,,9999,9999,9999,9999
CNRM-CERFACS_CNRM-CM5_r1i1p1_MOHC_HadREM3-GA7-05_v2,2034-2053,,,,2028-2047,2049-2068,,,9999,9999,9999,9999
CNRM-CERFACS_CNRM-CM5_r1i1p1_SMHI_RCA4_v1,2034-2053,,,,2028-2047,2049-2068,,,9999,9999,9999,9999
ICHEC_EC-EARTH_r12i1p1_CLMcom-ETH_COSMO-crCLIM-v1-1_v1,2014-2033,,,,2013-2032,2035-2054,,,2009-2028,2025-2044,2051-2070,2073-2092
ICHEC_EC-EARTH_r12i1p1_CLMcom_CCLM4-8-17_v1,2014-2033,,,,2013-2032,2035-2054,,,2009-2028,2025-2044,2051-2070,2073-2092
ICHEC_EC-EARTH_r12i1p1_DMI_HIRHAM5_v1,2014-2033,,,,2013-2032,2035-2054,,,2009-2028,2025-2044,2051-2070,2073-2092
ICHEC_EC-EARTH_r12i1p1_GERICS_REMO2015_v1,2014-2033,,,,2013-2032,2035-2054,,,2009-2028,2025-2044,2051-2070,2073-2092
ICHEC_EC-EARTH_r12i1p1_ICTP_RegCM4-6_v1,2014-2033,,,,2013-2032,2035-2054,,,2009-2028,2025-2044,2051-2070,2073-2092
ICHEC_EC-EARTH_r12i1p1_IPSL_WRF381P_v1,2014-2033,,,,2013-2032,2035-2054,,,2009-2028,2025-2044,2051-2070,2073-2092
